id;data;journal;descrizione;riferimento;dare;avere;saldo
132558;2025-08-06;REVOLUT CASAFOLINO;Open balance of -5,501.08 €;68933abe-044a-ad2b-a347-dd19179426d5;5099.36;0.00;5099.36
132557;2025-08-06;REVOLUT CASAFOLINO;A Arpaia spa | Vs ft;68933abe-044a-ad2b-a347-dd19179426d5;401.72;0.00;401.72
132556;2025-08-06;REVOLUT CASAFOLINO;A Arpaia spa | Vs ft;68933abe-044a-ad2b-a347-dd19179426d5;0.00;5501.08;-5501.08
132133;2025-12-09;REVOLUT CASAFOLINO;Open balance of -843.46 €;6938a74c-e494-ae54-ad6f-8e04a9f67761;441.74;0.00;441.74
132131;2025-12-09;REVOLUT CASAFOLINO;A Arpaia spa | Vs ft;6938a74c-e494-ae54-ad6f-8e04a9f67761;0.00;843.46;-843.46
132132;2025-12-09;REVOLUT CASAFOLINO;A Arpaia spa | Vs ft;6938a74c-e494-ae54-ad6f-8e04a9f67761;401.72;0.00;401.72
130566;2026-03-24;REVOLUT CASAFOLINO;A Arpaia spa | Vs ft;69c2a2b4-51f0-ab02-b0b5-4fc13e81ce64;0.00;401.72;-401.72
130564;2026-04-09;REVOLUT CASAFOLINO;Arpaia Spa;69d7ce7b-772a-a8d4-8d88-7f75d7fd76ae;0.00;21.40;-21.40
